Book-Title,Book-Author,Publisher
A Dangerous Place: California's Unsettling Fate (Images of America),Marc Reisner,Pantheon Books
Black Hawk Down: A Story of Modern War,Mark Bowden,Atlantic Monthly Press
The Burberry Style,Jonathan Pearce,Infinity Publishing.com
Heavier Than Air (Balona Books),Jonathan Pearce,Infinity Publishing.com
A Little Honesty: Trials and Triumphs of a Prince of Balona,Jonathan Pearce,1stBooks Library
The Balona Klongs,Jonathan Pearce,Buy Books on the web.com
Sang Froyd (Balona Books),Jonathan Pearce,1stBooks Library
The Chocolate Korndog,Jonathan Pearce,Infinity Publishing (PA)
One Brick Shy,Jonathan Pearce,Infinity Publishing (PA)
Spring Break,Jonathan Pearce,Infinity Publishing (PA)
Focusing the Private Eye,Jonathan Pearce,Infinity Publishing (PA)
A Cuisine of Leftovers,Jonathan Pearce,Infinity Publishing (PA)
Finding Dad,Jonathan Pearce,Infinity Publishing (PA)
Natural Causes,Michael Palmer,Bantam Books
Degree of Guilt,Richard North Patterson,Ballantine Books
Wuthering Heights (Penguin Popular Classics),Emily Bronte,Penguin Books Ltd
Emma (Penguin Popular Classics),Jane Austen,Penguin Books Ltd
The Art of Travel,Alain de Botton,Pantheon
SO LONG AND THANKS FOR ALL THE FISH (Hitchhiker's Trilogy (Paperback)),Douglas Adams,Pocket
Fight Club,Chuck Palahniuk,Owl Books
Wuthering Heights,Emily Bronte,Bantam
SHIPPING NEWS,Annie Proulx,Scribner
The Frog King: A Love Story,Adam Davies,Riverhead Books
Outhouses of Alaska,Harry M. Walker,Epicenter Press
The Smoke Jumper,Nicholas Evans,Delacorte Press
The Unbearable Lightness of Being,Milan Kundera,Harpercollins
A Spell for Chameleon (Xanth Novels (Paperback)),Piers Anthony,Del Rey Books
Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,Bantam Classics
"Das Kurze Leben Der Sophie Scholl (Fiction, Poetry and Drama)",Vinke,Ravensburger Buchverlag Otto Maier GmbH
Cloud Atlas : A Novel,DAVID MITCHELL,Random House Trade Paperbacks
Everything Is Illuminated : A Novel,Jonathan Safran Foer,Perennial
Post Office,Charles Bukowski,Black Sparrow Books
On the Road (Essential.penguin S.),Jack Kerouac,Penguin Books Ltd
Hard-Boiled Wonderland and the End of the World: A Novel (Vintage International),Haruki Murakami,Vintage Books USA
Norwegian Wood (Vintage International Original),Haruki Murakami,Vintage Books USA
A Little Princess,Frances Hodgson  Burnett,Pages Publishing Group
Talking to Dragons (Enchanted Forest Chronicles (Paperback)),Patricia C. Wrede,Point Fantasy
The Call of the Wild: And Selected Stories (Signet Classics (Paperback)),Jack London,Signet Classics
A Life God Rewards for Teens (The Breakthrough Series),Bruce Wilkinson,Multnomah
Calling on Dragons (Read with Me Paperbacks),Patricia C. Wrede,Point Fantasy
A Temporary New Wife,Malcolm Goodway,AuthorsOmniscient Publishers
Fall On Your Knees (Oprah #45),Ann-Marie MacDonald,Touchstone
Reap the Wind,Iris Johansen,Bantam Books
The Survivors Club,LISA GARDNER,Bantam
Sins of Omission,FERN MICHAELS,Ivy Books
White Lies,Linda Howard,Mira
Random Winds,Belva Plain,Dell
The Carousel,Belva Plain,Dell
While I Was Gone,Sue Miller,Ballantine Books
Grass,Sheri S. Tepper,Spectra Books
One Fish Two Fish Red Fish Blue Fish (I Can Read It All by Myself Beginner Books),DR SEUSS,Random House Books for Young Readers
This Boy's Life: A Memoir,Tobias Wolff,Perennial
Zlateh the Goat and Other Stories,Isaac Bashevis Singer,HarperCollins Publishers
Winter's Tale,Mark Helprin,Harvest Books
The Dancing Wu Li Masters: An Overview of the New Physics,Gary Zukav,Bantam Books
The World According to Garp (Ballantine Reader's Circle),John Irving,Ballantine Books
Farewell To Arms,Ernest Hemingway,Scribner
"The American Constitution: Its Origins and Development, Seventh Edition, Volume II",Alfred H. Kelly,"W. W. Norton &amp, Company"
Collected Works of Emile Zola,Emile Zola,"Chatto &amp, Windus"
Plato Complete Works,Plato,Hackett Publishing Company
The Twenty-Seventh City : A Novel (Bestselling Backlist),Jonathan Franzen,Picador
"Cat (kat), n",B Kliban,Workman Pub. Co
Breaking Clean,JUDY BLUNT,Knopf
Felicia's Journey,William Trevor,Penguin Books
Possessing the Secret of Joy,Alice Walker,Pocket
History of Croatia,Stephen Gazi,Barnes Noble Books
Angle of Repose (Contemporary American Fiction),Wallace Stegner,Penguin Books
White Noise (Contemporary American Fiction),Don DeLillo,Penguin Books
Invisible Man,Ralph Ellison,Vintage Books USA
Of Love and Shadows,Isabel Allende,Bantam Books
The House of the Spirits,Isabel Allende,Bantam Books
Where the Sidewalk Ends : Poems and Drawings,Shel Silverstein,HarperCollins
Interpreter of Maladies,Jhumpa Lahiri,Houghton Mifflin Co
Glorious Country: Food Crafts Decorating,Liz Trigg,Natl Book Network
Loving,Charles Sullivan,Harry N Abrams
Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,Perennial
She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,Washington Square Press
JITTERBUG PERFUME,TOM ROBBINS,Bantam
STONES FROM THE RIVER,Ursula Hegi,"Simon &amp, Schuster"
Clarissa (abridged),Samuel Richardson,Houghton Mifflin Company
Italian Fever: A Novel,Valerie Martin,Vintage Books USA
One Hundred Years of Solitude,Gabriel Garcia Marquez,Avon Books
The Illustrated Encyclopedia of Buddhist Wisdom,Gill Farrer-Halls,Quest Books
Common Phrases: And Where They Come From,John Mordock,The Lyons Press
"Notions And Potions: A Safe, Practical Guide To Creating Magic &amp, Miracles",Susan Bowes,Sterling Publishing
Dragonfly in Amber,DIANA GABALDON,Dell
Naked,David Sedaris,Back Bay Books
White Teeth,Zadie Smith,Random House
Writing Down the Bones,NATALIE GOLDBERG,Shambhala
"K Is for Killer (Grafton, Sue. Kinsey Millhone Mysteries.)",Sue Grafton,"Henry Holt &amp, Company"
Ironweed,William J. Kennedy,Penguin Books
Swimming in the Volcano: A Novel,Bob Shacochis,Penguin Books
The Grapes of Wrath,John Steinbeck,Penguin USA
The Grace and Truth Paradox: Responding with Christlike Balance,Randy Alcorn,Multnomah
The Best Thing I Ever Did for My Marriage : 50 Real Life Stories,Nancy Cobb,Multnomah
Kreutzersonate. Eine Liebesgeschichte,Margriet de Moor,Hanser
Tollivers Reisen. Stadtgeschichten IV.,Armistead Maupin,Rowohlt Tb.
"HOW TO WIN FRIENDS, REVISED",Dale Carnegie,"Simon &amp, Schuster"
CUCKOO'S EGG,Clifford Stoll,Pocket
Kiss the Girls,James Patterson,Warner Books
Different Seasons,Stephen King,Penguin Putnam~mass
The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,Ballantine Books
"Jack &amp, Jill (Alex Cross Novels)",James Patterson,Warner Books
Vittorio the Vampire: New Tales of the Vampires,Anne Rice,Ballantine Books
The House on Mango Street (Vintage Contemporaries),SANDRA CISNEROS,Vintage
My Life in Dog Years,Gary Paulsen,Yearling Books
Black Gold,Marguerite Henry,Aladdin
Red Unicorn (Tor Fantasy),Tanith Lee,Tor Books
The Silent Storm: Scholastic Edition,Sherry Garland,Harcourt
Black Rainbow,Barbara Michaels,Berkley Publishing Group
The Demon-Haunted World: Science As a Candle in the Dark,Carl Sagan,Ballantine Books
"Teen Love:  On Relationships, A Book for Teenagers",Kimberly Kirberger,Health Communications
On The Verge (Red Dress Ink (Paperback)),Ariella Papa,Red Dress Ink
Chaser: A Novel in E-Mails,Michael J. Rosen,Candlewick Press (MA)
Cool Women,Dawn Chipman,Girl Press
Welcome to My Planet: Where English Is Sometimes Spoken,Shannon Olson,Penguin Books
A STRING OF CHANCES (String of Chances Nrf),Phyllis Reynolds Naylor,Atheneum
"Frankenstein Or, the Modern Prometheus",Mary Wollstonecraft Shelley,Signet Book
World of Pies : A Novel,Karen Stolz,Hyperion
Love: A User's Guide,CLARE NAYLOR,Ballantine Books
The Perks of Being a Wallflower,Stephen Chbosky,MTV
Patapim e patapam (Le formiche),Antonio Albanese,"Baldini&amp,Castoldi"
Dragons of Summer Flame,Margaret Weis,Wizards of the Coast
DANCING AT THE RASCAL FAIR,Ivan Doig,Scribner
Daughter of Fortune : A Novel (Oprah's Book Club (Hardcover)),Isabel Allende,HarperCollins
"A Beautiful Mind : A Biography of John Forbes Nash, Jr.",Sylvia Nasar,"Simon &amp, Schuster"
The Bridegroom: Stories (Great Reads),Ha Jin,Pantheon Books
Kiss the Dust,Elizabeth Laird,Puffin Books
"Slippage: Previously Poised, Previously Uncollected Stories",Harlan Ellison,Houghton Mifflin
Portrait in Sepia,Isabel Allende,HarperCollins Publishers
The Pilgrimage Road to Santiago : The Complete Cultural Handbook,David M. Gitlitz,St. Martin's Griffin
Der Magier. Der Erbe der Nacht.,Wolfgang Hohlbein,Heyne
Der fremde Freund. (Drachenblut).,Christoph Hein,Aufbau Tb
Die Meute der Erben.,Gaby Hauptmann,Piper
Ein Mann fÃ?Â¼r jede Gelegenheit.,Carolyn See,Heyne
Der Geteilte Himmel,Christa Wolf,Deutscher Taschenbuch Verlag
Helden wie wir.,Thomas Brussig,"Fischer (Tb.), Frankfurt"
Schamanismus. Reisen der Seele. Magische KrÃ?Â¤fte. Ekstase und Heilung.,Piers Vitebsky,Taschen Verlag
Entdecke den Schamanen in dir. Reise in die innere Welt des Alltags.,Christopher Weidner,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp, Co."
Das Meer und kleine Fische.,Terry Pratchett,Heyne
Sofies Welt. Roman Ã?Â¼ber die Geschichte der Philosophie.,Jostein Gaarder,Dtv
The Book of Lost Tales 2 (The History of Middle-Earth - Volume 2),J.R.R. TOLKIEN,Del Rey
The Book of Lost Tales 1 (The History of Middle-Earth - Volume 1),J. R. R. Tolkien,Del Rey Books
Waking Up Screaming: Haunting Tales of Terror,H. P. Lovecraft,Del Rey Books
Dharma Bums,Jack Kerouac,Penguin Books
American Gods,Neil Gaiman,HarperTorch
Just Here Trying to Save a Few Lives : Tales of Life and Death from the ER,Pamela Grim,Warner Books
2061: Odyssey Three,Arthur C. Clarke,Del Rey Books
"Tales of the City (Tales of the City Series, V. 1)",Armistead Maupin,Perennial
Pigeon,Jay Bennett,Harpercollins Juvenile Books
Deadly Sleep,John Applegate,Pinnacle Books
Demon Night,J. Michael Straczynski,Berkley Pub Group
Harp and the Blade,John Myers Myers,Ace Books
"The World, the Flesh and the Devil",Reay Tannahill,Ivy Books
"The Skystone (Whyte, Jack. Camulod Chronicles, Bk. 1.)",Jack Whyte,Forge
"One Tree (Donaldson, Stephen R. Second Chronicles of Thomas Covenant, Bk. 2.)",Stephen R. Donaldson,Ballantine Books
White Gold Wielder Chronicles 3 (Second Chronicles of Thomas Covenant),Stephen R Donaldson,Ballantine Books
Wounded Land (Second Chronicles of Thomas Covenant),Stephen R. Donaldson,Del Rey Books
"The Power That Preserves (The Chronicles of Thomas Covenant the Unbeliever, Book Three)",Stephen R. Donaldson,Del Rey Books
Illearth War / Thomas Covenant #02 (Chronicles of Thomas Covenant the Unbeliever),Stephen Donaldson,Ballantine Books
"Lord Foul's Bane (The Chronicles of Thomas Covenant the Unbeliever, Book One)",Stephen R. Donaldson,Del Rey Books
Killing Mister Watson,Peter Matthiessen,Vintage Books USA
Exocet,Jack Higgins,Penguin Putnam~mass
The Crib,Paul Kent,Bantam Books
Red Dragon,Thomas Harris,Dell Publishing Company
Jurassic Park,Michael Crichton,Ballantine Books
Imaginary Lands,Robin McKinley,Ace Books
"So That Others May Live: Caroline Hebard &amp, Her Search-And-Rescue Dogs",Hank Whittemore,Bantam Books
How to Get Your Kid to Eat but Not Too Much,Ellyn Satter,Bull Publishing Company
Shape Changer,Bill Brittain,Harpercollins Juvenile Books
The Piano Lesson (Plume Drama),August Wilson,Plume Books
Trading Places,Fern Michaels,Pocket Star
Stanislaski Brothers (Silhouette Promo),Nora Roberts,Silhouette
Housekeeping,Marilynn Robinson,Bantam Books
A Feather on the Breath of God: A Novel,Sigrid Nunez,HarperCollins Publishers
I Thought My Father Was God: And Other True Tales from NPR's National Story Project,Paul Auster,Picador
Highland Fling,Amanda Scott,Pinnacle Books
Neverwhere,Neil Gaiman,Avon
French Lieutenant Woman,John Fowles,Penguin Putnam~mass
The Thorn Birds,Colleen McCullough,Avon
"Fodor's Exploring London, 4th Edition (Fodor's Exploring London)",Christopher Catling,Fodor's
On Her Own Ground : The Life and Times of Madam C.J. Walker,A'Lelia Bundles,Scribner
Four Complete Lord Peter Wimsey Novels,Dorothy L. Sayers,Random House Value Publishing
"Forever... : A Novel of Good and Evil, Love and Hope",Jude Deveraux,Pocket
The God of Small Things,Arundhati Roy,Random House Inc
Gift From The Sea,Anne Morrow Lindbergh,Pantheon Books
The Beekeeper's Apprentice,LAURIE R. KING,Bantam
The Red Tent : A Novel,Anita Diamant,St. Martin's Press
The Earth House,Jeanne Duprau,New Chapter Press
Tracks,Louise Erdrich,Smithmark Pub
Mother of Pearl,Melinda Haynes,Hyperion
Baba: A Return to China upon My Father's Shoulders,Belle Yang,Harcourt
Larry's Party,Carol Shields,Penguin Books
"In Love &amp, Trouble: Stories of Black Women",Alice Walker,Harvest Books
Pale Fire: A Novel (Vintage International),Vladimir Vladimirovich Nabokov,Vintage Books USA
The Anubis Gates,Tim Powers,Ace Books
The Vulcan Academy Murders,Jean Lorrah,Star Trek
Picture of Dorian Gray,Oscar Wilde,Penguin Putnam~mass
Samuel Taylor Coelridge (Everyman Poetry Library),John Beer,Everyman Paperback Classics
Der Alchimist.,Paulo Coelho,"Diogenes Verlag, ZÃ?Â¼rich"
Das Lied der alten Steine.,Barbara Erskine,Heyne
"Suche Hose, biete Rock.",Annegrit Arens,LÃ?Â¼bbe
Zeit im Wind.,Nicholas Sparks,Heyne
Shadowrun. Deutschland in den Schatten.,Hans Joachim Alpers,Heyne
Der Fanger Im Roggen,Jerome D. Salinger,Rowohlt Tb.
Demian. Die Geschichte von Emil Sinclairs Jugend.,Hermann Hesse,Suhrkamp
Vielleicht lieber morgen.,Stephen Chbosky,Heyne
"Ich, Prinzessin Viola: Ein altes Haus und seine Besetzer",Claudia von Zglinicki,Aufbau Taschenbuch Verlag
Das Druidentor.,Wolfgang Hohlbein,Heyne
Timeless/Four Breathtaking Tales of Hearts That Reach Across Time-For Love: A Midsummer Day's Dream/Lovers of the Golden Drum/Out of Time/Echoes of L,Linda Lael Miller,Berkley Publishing Group
Vice,Jane Feather,Bantam
West of Dodge,LOUIS L'AMOUR,Bantam
The Union Forever (Lost Regiment (Numbered)),William Forstchen,Roc
The Callahan Touch,Spider Robinson,Ace Books
Caverns of Socrates,Dennis L. McKiernan,Roc
"Between The Sheets (Harlequin Temptation, No 607)",Mallory Rush,Harlequin
Kent Montana and the Really Ugly Thing from Mars,Lionel Fenn,Ace Books
Black Knight,Carole Halston,Silhouette
"Midsummer Madness (Silhouette Desire, No 729)",Christine Rimmer,Silhouette
"Hand Of An Angel (Silhouette Desire, No 844)",BJ James,Silhouette
The crow road,Iain Banks,Abacus
Life Is Elsewhere,Milan Kundera,"Faber &amp, Faber"
Breakfast at Tiffany's: And Three Stories (First Vintage International),Truman Capote,Vintage Books USA
Golden Gate,Vikram Seth,Faber Faber Inc
Rachel's Tears: The Spiritual Journey of Columbine Martyr Rachel Scott,Darrell Scott,Nelson Books
The Sorrows of Young Werther (Penguin Classics),Johann Wolfgang Von Goethe,Penguin Books
"Metropolis (Bfi Film Classics, 54)",Thomas Elsaesser,British Film Institute
Alien at St Wilfred's,Adrian Plass,Zondervan
Why I Follow Jesus,Adrian Plass,Zondervan Publishing Company
"Sacred Diary of Adrian Plass, Christian Speaker Aged 45 3/4",Adrian Plass,Zondervan
Colours of Survival,Adrian Plass,Zondervan
Angelas Ashes,Frank Mccourt,Harpercollins Uk
Far from the Madding Crowd (Penguin Classics),Thomas Hardy,Penguin Books
Memoirs of a Geisha Uk,Arthur Golden,Trafalgar Square
Who Were the Pharaohs?: A History of Their Names With a List of Cartouches,Stephen Quirke,Dover Publications
"Last Dance, Last Chance (Ann Rule's Crime Files)",Ann Rule,Pocket
Ham on Rye,Charles Bukowski,Ecco
Once,James Herbert,Pan
Are You Experienced?,William Sutcliffe,Penguin Books Ltd
"Oh, wie schÃ?Â¶n ist Panama",Janosch,Beltz
"Komm, wir finden einen Schatz",Janosch,Beltz
Konig Babar,Jean de Brunhoff,Not Avail
Die Geschichte Von Babar,Jean de Brunhoff,Diogenes
Serafin und seine Wundermaschine.,Philippe Fix,Diogenes
Ich schenk Dir meinen Mann.,Claudia Keller,Goldmann
Die PrÃ?Â¼fung.,F. Paul Wilson,Goldmann
Der kleine Taschentherapeut. In 60 Sekunden wieder o.k.,Arnold A. Lazarus,Klett-Cotta
Die Wolfsfrau. Die Kraft der weiblichen Urinstinkte.,Clarissa Pinkola Estes,Heyne
Was ist das?,Virginia Allen Jensen,SauerlÃ?Â¤nder
Post fÃ?Â¼r den Tiger,Janosch,Beltz
Das Leben der Thiere,Janosch,Beltz
Choke,CHUCK PALAHNIUK,Anchor
Survivor : A Novel,CHUCK PALAHNIUK,Anchor
Gifted Trust,John Paul Allen,Biting Dog Publications
"Lamb : The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,Perennial
"Le Coq De Bruygre (Folio Ser, No. 1229))",Tournier,Distribooks Inc
Retour Ã?Â  Brooklyn,Hubert Selby,Editions 10/18
"Ask for May, Settle for June (A Doonesbury book)",G. B. Trudeau,"Henry Holt &amp, Co"
The Curse of Madame C : A Far Side Collection,Gary Larson,Andrews McMeel Publishing
Lake Wobegon Days,Garrison Keillor,Penguin/Puffin Mass Market (Mm)
Rush Limbaugh Is a Big Fat Idiot: And Other Observations,Al Franken,Delacorte Press
Happy Trails,Berke Breathed,"Little Brown &amp, Co"
"14,000 Things to Be Happy About",Barbara Ann Kipfer,Workman Publishing
In the Frame,Dick Francis,Fawcett Books
The New Rabbi : A Congregation Searches for Its Leader,STEPHEN FRIED,Bantam
Dealing With Dragons (Enchanted Forest Chronicles (Paperback)),Patricia C. Wrede,Scholastic
All Too Human : A Political Education,George Stephanopoulos,"Little, Brown"
Rubyfruit Jungle,Rita Mae Brown,Bantam Dell Pub Group
Little Women (Penguin Classics),Louisa May Alcott,Penguin Books
The Thief Lord,Cornelia Funke,Scholastic
Fantastic Four Illustrated Books,Stan Lee,Marvel Books
"Sex, Art, and American Culture: Essays",Camille Paglia,Vintage Books USA
Return of the Jedi (Star Wars),James Kahn,Del Rey Books
Stranger in a Strange Land,Robert A. Heinlein,Berkley Publishing Group
Ship Who Sang,Anne McCaffrey,Del Rey Books
Little Women (Treasury of Illustrated Classics),Louisa May Alcott,Modern Publishing
The Color of Water: A Black Man's Tribute to His White Mother,James McBride,Riverhead Books
Wayside School is Falling Down,Louis Sachar,HarperTrophy
The Dolphins of Pern,Anne McCaffrey,Ballantine Books
Dragonsdawn,Anne McCaffrey,Ballantine Books
Beneath an Opal Moon,Eric Van Lustbader,Berkley Publishing Group
Myth-Ion Improbable (Myth Books),Robert Asprin,Ace Books
Anne Frank: The Diary of a Young Girl,ANNE FRANK,Bantam
Kriya Yoga Sutras of Patanjali and the Siddhas,Georg Feverstein,Kriya Yoga Publications
The Family Orchard,Nomi Eve,Vintage Books USA
THIS HALLOWED GRND,Bruce Catton,Pocket
Miracle Worker,William Gibson,Bantam Books
HISTORY OF THE SOUTHERN CONFEDERACY,Clement Eaton,Free Press
War of the Worlds,H. G. Wells,Berkley Publishing Group
Elfstones of Shannara,Terry Brooks,Del Rey Books
Sword of Shannara,Terry Brooks,Ballantine Books
"Ogre, Ogre",Piers Anthony,Del Rey Books
The Stand: Complete and Uncut,Stephen King,Signet Book
Lonesome Dove,Larry McMurtry,Pocket
Shopaholic Takes Manhattan (Summer Display Opportunity),Sophie Kinsella,Delta
Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,Delta
The Cider House Rules,John Irving,Bantam Books
PRIME TIME : PRIME TIME,Judy Collins,Pocket
Uncle Tungsten: Memories of a Chemical Boyhood,Oliver W. Sacks,Vintage Books USA
Family At Last (Love Inspired (Numbered)),Carolyne Aarsen,Steeple Hill
Sons of Texas : Callaway Country,Annette Broadrick,Silhouette
Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,Metropolitan Books
Gingerbread,Rachel Cohn,Simon Pulse
Strange Memories The Nancy Drew Files 122 (Nancy Drew Files (Paperback)),Carolyn Keene,Simon Pulse
"My Grandfathers Blessings : Stories of Strength, Refuge, and Belonging",Rachel Naomi Remen M.D.,Riverhead Books
Summer Light,Luanne Rice,Bantam Books
Smoke in Mirrors,Jayne Ann Krentz,Jove Books
Table For Two,Nora Roberts,Silhouette
Winter Wedding,Joan Smith,Fawcett Books
Divining Women (Ay Spoken Word - Gibbons),Kaye Gibbons,Audioworks
Eve's Rib,Bryn Chandler,Random House Inc
In Search of America,Tod Brewster,Hyperion
The Distance Between,Eliza Osborne,Soho Press
The Museum Guard,Howard Norman,Farrar Straus Giroux
No One Thinks of Greenland,John Griesemer,Picador USA
Evening News: A Novel,Marly A. Swick,"Little Brown &amp, Co"
Having Everything,John L'Heureux,Pub Group West
Nothin' but Good Times Ahead,Molly Ivins,Random House Inc
Hunting Badger,Tony Hillerman,HarperCollins Publishers
The Education of Little Tree (A Zia Book),Forrest Carter,University of New Mexico Press
The Island of the Day Before,Umberto Eco,Penguin Books
Darwin's Radio,Greg Bear,Ballantine Books
Good Omens,Neil Gaiman,Ace Books
Il Dio Delle Piccole Cose,Arundhati Roy,Distribooks Inc
The Songcatcher: A Ballad Novel,Sharyn McCrumb,Signet Book
Message in a Bottle,Nicholas Sparks,Warner Vision
Fatal Voyage,Kathy Reichs,Pocket
Praying for Sleep,Jeffery Deaver,Signet Book
Flashback,Nevada Barr,Putnam Publishing Group
Red Square,Martin Cruz Smith,Ballantine Books
Pearl in the Mist (Landry),V.C. Andrews,Pocket
Knockin' at Heaven's Door,Stephen Hill,Regal Books
Shock,Robin Cook,G. P. Putnam's Sons
Das Halsband der Taube.,Ernst W. Heine,btb
Isle of Lies,Donna Fletcher,Jove Books
Bronze Mirror,Jeanne Larsen,Ballantine Books
Doll's Eyes,Bari Wood,"William Morrow &amp, Company"
Men and Brethren,James Gould Cozzens,Elephant Paperbacks
"My Father, His Son",Reidar Jonsson,"Little Brown &amp, Co"
Starlings Laughing: A Memoir of Africa,June Vendall Clark,Harpercollins
The God of Mirrors,Robert Reilly,Atlantic Monthly Press
Unassigned Territory,Kem Nunn,Bantam Dell Pub Group
The Best of Larry King Live: The Greatest Interviews,Larry King,Turner Pub
The Poisonwood Bible: A Novel,Barbara Kingsolver,Perennial
A Lesson Before Dying (Vintage Contemporaries (Paperback)),Ernest J. Gaines,Vintage Books USA
Operating Instructions: A Journal of My Son's First Year,Anne Lamott,Ballantine Books
Jewel,Bret Lott,Washington Square Press
Their Eyes Were Watching God: A Novel,Zora Neale Hurston,Perennial
"Wild Magic (Fool's Gold, Book 2)",Jude Fisher,Daw Books
The Satanic Verses,Salman Rushdie,Distributors
Shadowmancer,G. P. Taylor,Putnam Publishing Group
Notes From a Small Planet,Bill Bryson,Bantam Doubleday Dell
DINOSAUR PLANET 2 SURVIVORS,ANNE MCCAFFREY,Time Warner Books UK
The Grapes of Wrath: John Steinbeck Centennial Edition (1902-2002),John Steinbeck,Penguin Books
"The Amber Spyglass (His Dark Materials, Book 3)",Philip Pullman,Scholastic Press
"The Subtle Knife (His Dark Materials, Book 2)",Philip Pullman,Scholastic Point
Northern Lights (His Dark Materials S.),Philip Pullman,Scholastic Point
A Prayer for Owen Meany,John Irving,Ballantine Books
Away from It All,Judy Astley,Trafalgar Square
Winnie-The-Pooh on Management and Problem Solving,Roger E. Allen,Routledge
An ABC for You and Me,Margaret Tempest,The Medici Society Ltd
Popular Reward: the Brave Toy Soldier: And Other Stories (Enid Blyton's Popular Rewards Series VII),Enid Blyton,Award Publications
Shadowheart : Legends of the Raven (Legends of the Raven),James Barclay,Gollancz
Nightchild (Gollancz SF S.),James Barclay,Gollancz
The Prophet,Kahlil Gibran,Alfred A. Knopf
How Not to Be a Perfect Mother: The Crafty Mother's Guide to a Quiet Life (How Not to),Libby Purves,HarperCollins Publishers
"No Eye Can See (Kirkpatrick, Jane, Kinship and Courage Historical Series, Bk. 2.)",JANE KIRKPATRICK,WaterBrook Press
The Sinner,TESS GERRITSEN,Ballantine Books
Cold Sassy Tree,Olive Ann Burns,Delta
A Tree Grows in Brooklyn,Betty Smith,Perennial
The Neverending Story,Michael Ende,Penguin USA
The Shipping News : A Novel,Annie Proulx,Scribner
Hiding Place,Corrie Ten Boom,Bantam Books
Only The River Runs Free : A Novel (Galway Chronicles (Paperback)),Bodie Thoene,WestBow Press
Only the Wind Remembers,Marlo Schalesky,Moody Publishers
True Notebooks (Alex Awards (Awards)),MARK SALZMAN,Knopf
The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,Anchor
Driving Mr. Albert: A Trip Across America With Einstein's Brain,Michael Paterniti,Delta
French Lieutenant's Woman,John Fowles,Signet Book
The Clearing: A Mystery,Dorothy Reynolds Miller,Yearling Books
Shopgirl,Steve Martin,Hyperion
Kitchen,Banana Yoshimoto,Washington Square Press
"Museum of Science Book of Answers &amp, Questions",Ann Rae Jonas,Adams Media Corp
How in the World?: A Fascinating Journey Through the World of Human Ingenuity,Readers Digest,Readers Digest
The Power of Myth (Illustrated Edition),Joseph Campbell,Doubleday Books
Crescent City,Belva Plain,Delacorte Press
Gibson's Student Guide to Western Canadian Universities,Dyanne Gibson,University of Toronto Press
"The New Hugo Winners, Vol. 2",Isaac Asimov,Baen
My Teacher is an Alien,Bruce Coville,Pocket Books
Tangle Box,TERRY BROOKS,Del Rey
"Breath, Eyes, Memory",Edwidge Danticat,Vintage Books USA
A Walk in the Woods: Rediscovering America on the Appalachian Trail (Official Guides to the Appalachian Trail),Bill Bryson,Broadway Books
The Bottoms,Joe R. Lansdale,Mysterious Press
The Flanders Panel,ARTURO PEREZ-REVERTE,Bantam
Where No Gods Came (Michigan Literary Fiction Awards),Sheila O'Connor,UMP
"The Devil in the White City : Murder, Magic, and Madness at the Fair That Changed America (Illinois)",ERIK LARSON,Crown
The Adventures of Augie March,Saul Bellow,Viking Books
Sacred Journey of the Peaceful Warrior,Dan Millman,H.J. Kramer
Chicken Soup for the Mother's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,Health Communications
The Kitchen God's Wife,Amy Tan,Ivy Books
Adventures of Huckleberry Finn (Signet Classics (Paperback)),Mark Twain,Signet Book
The Silmarillion,J.R.R. TOLKIEN,Del Rey
Teen Angst? Naaah . . . A Quasi-autobiography,Ned Vizzini,Laurel-Leaf Books
Speak,Laurie Halse Anderson,Speak
Kerosene,Chris Wooding,Push
Songs in Ordinary Time (Oprah's Book Club (Paperback)),Mary McGarry Morris,Penguin Books
Exploring Inner and Outer Space: A Scientist's Perspective on Personal and Planetary Transformation,Brian O'Leary,North Atlantic Books
"Miracle in the Void: Free Energy, Ufos and Other Scientific Revelations",Brian O'Leary,Kamapua'a Press
The Second Coming of Science: An Intimate Report on the New Science,Brian O'Leary,North Atlantic Books
Synchronicity: The Bridge Between Matter and Mind,F. David Peat,Bantam
L. Ron Hubbard Presents Writers of the Future (L. Ron Hubbard Presents Writers of the Future),L. Ron Hubbard,Bridge Publications
The Stone Monkey : A Lincoln Rhyme Novel,Jeffery Deaver,"Simon &amp, Schuster"
Saucer,Stephen Coonts,St. Martin's Paperbacks
"Clones (Star Wars: Galaxy of Fear, Book 11)",JOHN WHITMAN,Skylark
Jetzt will ichs wirklich wissen. Mit mentaler Powertechnik Ziele erreichen.,Peter Kummer,Moderne Verlagsges. Mvg
Herr Lehmann. Ein Roman.,Sven Regener,Eichborn
